inclusion nb ; Z rotation ; theta ; phi ; rotMat11 ; rotMat12 ; rotMat13 ; rotMat21 ; rotMat22 ; rotMat23 ; rotMat31 ; rotMat32 ; rotMat33
30  ;  0 ; 83.5163 ; 171.93 ; -0.111801 ; -0.140385 ; -0.983764 ; 0.0158523 ; -0.990097 ; 0.139487 ; -0.993604 ; 0 ; 0.11292
31  ;  0 ; 81.9186 ; 2.73169 ; 0.140421 ; -0.0476589 ; 0.988944 ; 0.00669991 ; 0.998864 ; 0.0471856 ; -0.990069 ; 0 ; 0.140581
31  ;  0 ; 81.9186 ; 2.73169 ; 0.140421 ; -0.0476589 ; 0.988944 ; 0.00669991 ; 0.998864 ; 0.0471856 ; -0.990069 ; 0 ; 0.140581
32  ;  0 ; 83.3903 ; 164.594 ; -0.11097 ; -0.265655 ; -0.95766 ; 0.0305784 ; -0.964068 ; 0.263889 ; -0.993353 ; 0 ; 0.115106
32  ;  0 ; 83.3903 ; 164.594 ; -0.11097 ; -0.265655 ; -0.95766 ; 0.0305784 ; -0.964068 ; 0.263889 ; -0.993353 ; 0 ; 0.115106
33  ;  0 ; 90.8299 ; 179.158 ; 0.014482 ; -0.014698 ; -0.999787 ; -0.000212879 ; -0.999892 ; 0.0146964 ; -0.999895 ; 0 ; -0.0144835
33  ;  0 ; 90.8299 ; 179.158 ; 0.014482 ; -0.014698 ; -0.999787 ; -0.000212879 ; -0.999892 ; 0.0146964 ; -0.999895 ; 0 ; -0.0144835
34  ;  0 ; 67.465 ; 6.69665 ; 0.380633 ; -0.116613 ; 0.917344 ; 0.0446915 ; 0.993177 ; 0.107709 ; -0.923646 ; 0 ; 0.383248
34  ;  0 ; 67.465 ; 6.69665 ; 0.380633 ; -0.116613 ; 0.917344 ; 0.0446915 ; 0.993177 ; 0.107709 ; -0.923646 ; 0 ; 0.383248
34  ;  0 ; 67.465 ; 6.69665 ; 0.380633 ; -0.116613 ; 0.917344 ; 0.0446915 ; 0.993177 ; 0.107709 ; -0.923646 ; 0 ; 0.383248
35  ;  0 ; 81.9186 ; 2.73169 ; 0.140421 ; -0.0476589 ; 0.988944 ; 0.00669991 ; 0.998864 ; 0.0471856 ; -0.990069 ; 0 ; 0.140581
35  ;  0 ; 81.9186 ; 2.73169 ; 0.140421 ; -0.0476589 ; 0.988944 ; 0.00669991 ; 0.998864 ; 0.0471856 ; -0.990069 ; 0 ; 0.140581
36  ;  0 ; 108.047 ; 136.652 ; 0.225279 ; -0.686429 ; -0.691422 ; -0.21265 ; -0.727196 ; 0.65266 ; -0.950804 ; 0 ; -0.309792
36  ;  0 ; 108.047 ; 136.652 ; 0.225279 ; -0.686429 ; -0.691422 ; -0.21265 ; -0.727196 ; 0.65266 ; -0.950804 ; 0 ; -0.309792
36  ;  0 ; 108.047 ; 136.652 ; 0.225279 ; -0.686429 ; -0.691422 ; -0.21265 ; -0.727196 ; 0.65266 ; -0.950804 ; 0 ; -0.309792
37  ;  0 ; 76.3748 ; 175.637 ; -0.234887 ; -0.0760783 ; -0.969041 ; 0.0179217 ; -0.997102 ; 0.0739372 ; -0.971858 ; 0 ; 0.235569
37  ;  0 ; 76.3748 ; 175.637 ; -0.234887 ; -0.0760783 ; -0.969041 ; 0.0179217 ; -0.997102 ; 0.0739372 ; -0.971858 ; 0 ; 0.235569
